"source","target","locality","year"
"02-0741","02-0061","Magdeburg","1562"
"02-0673","02-0061","Heidelberg","1576"
"02-0702","02-0508","Tübingen","1566"
"02-0655","02-0512","Tübingen","1565"
"02-0716","02-0517","Jena","1561"
"02-0655","02-0573","Tübingen","1564"
"02-0791","02-0595","Oberursel/Taunus","1565"
"02-0741","02-0644","Nürnberg","1567"
"02-0512","02-0655","Ingolstadt","1564"
"02-0512","02-0655","Ingolstadt","1565"
"02-0512","02-0655","Wittenberg","1571"
"02-0666","02-0655","Genf","1565"
"02-0512","02-0655","Wittenberg","1571"
"02-0689","02-0655","Heidelberg","1575"
"02-0841","02-0665","Leipzig","1580"
"02-0716","02-0666","Frankfurt a. M.","1566"
"02-0841","02-0666","Wolfenbüttel","1573"
"02-0716","02-0666","Oberursel/Taunus","1566"
"02-0741","02-0666","Helmstedt","1580"
"02-0841","02-0666","Wolfenbüttel","1572"
"02-0841","02-0666","Leipzig","1579"
"02-0841","02-0666","Wolfenbüttel","1571"
"02-0741","02-0666","Magdeburg","1562"
"02-0655","02-0666","Tübingen","1565"
"02-0655","02-0666","Tübingen","1565"
"02-0782","02-0672","Wittenberg","1572"
"02-0809","02-0672","Wittenberg","1572"
"02-0678","02-0673","Zürich","1562"
"02-0678","02-0673","Zürich","1561"
"02-0678","02-0673","Zürich","1571"
"02-0655","02-0678","Tübingen","1575"
"02-0673","02-0678","Tübingen","1561"
"02-0933","02-0678","Tübingen","1561"
"02-0673","02-0678","Tübingen","1564"
"02-0673","02-0678","Frankfurt a. M.","1563"
"02-0673","02-0678","Frankfurt a. M.","1563"
"02-0673","02-0678","Frankfurt a. M.","1562"
"02-0673","02-0678","Tübingen","1561"
"02-0673","02-0678","Tübingen","1562"
"02-0650","02-0678","Neubrandenburg","1556"
"02-0876","02-0678","Magdeburg","1552"
"02-0722","02-0681","Regensburg","1560"
"02-0716","02-0681","Oberursel/Taunus","1567"
"02-0876","02-0681","Oberursel/Taunus","1558"
"02-0876","02-0681","Regensburg","1558"
"02-0741","02-0681","Nürnberg","1567"
"02-0876","02-0681","Magdeburg","1557"
"02-0650","02-0681","Neubrandenburg","1556"
"02-0876","02-0681","Magdeburg","1552"
"02-0876","02-0681","Oberursel/Taunus","1557"
"02-0879","02-0681","Königsberg","1574"
"02-0782","02-0681","Hamburg","1557"
"02-0876","02-0681","Oberursel/Taunus","1555"
"02-0741","02-0681","Magdeburg","1562"
"02-0782","02-0685","Wittenberg","1572"
"02-0809","02-0685","Wittenberg","1572"
"02-0841","02-0699","Leipzig","1579"
"02-0841","02-0699","Leipzig","1579"
"02-0879","02-0699","Königsberg","1574"
"02-0741","02-0699","Königsberg","1574"
"02-0775","02-0701","Wittenberg","1569"
"02-0508","02-0702","Genf","1566"
"02-0711","02-0702","Genf","1567"
"02-0699","02-0706","Heidelberg","1575"
"02-0702","02-0711","Tübingen","1568"
"02-0666","02-0716","Genf","1565"
"02-0809","02-0718","Wittenberg","1572"
"02-0782","02-0718","Wittenberg","1572"
"02-0741","02-0733","Magdeburg","1561"
"02-0685","02-0733","Eisleben","1561"
"02-0789","02-0733","Eisleben","1561"
"02-0685","02-0733","Eisleben","1561"
"02-0741","02-0733","Magdeburg","1560"
"02-0741","02-0733","Magdeburg","1560"
"02-0757","02-0733","Oberursel/Taunus","1565"
"02-0879","02-0741","Königsberg","1578"
"02-0879","02-0741","Königsberg","1578"
"02-0699","02-0741","Heidelberg","1575"
"02-0382","02-0741","Heidelberg","1575"
"02-0699","02-0741","Genf","1574"
"02-0681","02-0741","Genf","1561"
"02-0759","02-0741","Freiburg","1561"
"02-0666","02-0741","Genf","1561"
"02-0699","02-0741","Genf","1574"
"02-0061","02-0741","Genf","1562"
"02-0759","02-0741","Lausanne","1563"
"02-0061","02-0741","Basel","1561"
"02-0061","02-0758","Heidelberg","1576"
"02-0741","02-0759","Magdeburg","1562"
"02-0841","02-0764","Heidelberg","1565"
"02-0876","02-0766","Magdeburg","1552"
"02-0876","02-0766","Oberursel/Taunus","1557"
"02-0876","02-0766","Straßburg","1557"
"02-0650","02-0766","Neubrandenburg","1556"
"02-0782","02-0766","Hamburg","1557"
"02-0879","02-0766","Königsberg","1574"
"02-0971","02-0775","s.l.","1569"
"02-0701","02-0775","s.l.","1569"
"02-0722","02-0775","Regensburg","1560"
"02-0711","02-0777","Heidelberg","1565"
"02-0764","02-0777","Heidelberg","1565"
"02-0855","02-0777","Heidelberg","1565"
"02-0879","02-0782","Königsberg","1574"
"02-0722","02-0782","Regensburg","1560"
"02-0789","02-0782","Magdeburg","1560"
"02-0741","02-0782","Magdeburg","1560"
"02-0722","02-0782","Regensburg","1560"
"02-1029","02-0782","Magdeburg","1560"
"02-0782","02-0782","Regensburg","1560"
"02-0764","02-0789","Heidelberg","1565"
"02-0716","02-0798","Oberursel/Taunus","1564"
"02-0782","02-0800","Wittenberg","1559"
"02-0722","02-0800","Jena","1562"
"02-0876","02-0817","Oberursel/Taunus","1555"
"02-0841","02-0828","Wolfenbüttel","1571"
"02-0841","02-0828","Wolfenbüttel","1571"
"02-0841","02-0828","Wolfenbüttel","1572"
"02-0782","02-0838","Wittenberg","1559"
"02-0755","02-0838","Mühlhausen/Elsaß","1562"
"02-0879","02-0838","Mühlhausen/Elsaß","1562"
"02-0828","02-0841","Wittenberg","1571"
"02-0666","02-0841","Genf","1572"
"02-0666","02-0841","Genf","1571"
"02-0111","02-0841","Genf","1579"
"02-0666","02-0841","Genf","1571"
"02-0828","02-0841","Wittenberg","1571"
"02-0782","02-0841","Wittenberg","1572"
"02-0809","02-0841","Wittenberg","1572"
"02-0665","02-0841","Neustadt a.d. Hardt","1579"
"02-0666","02-0841","Genf","1573"
"02-0702","02-0843","Tübingen","1568"
"02-0681","02-0847","Genf","1561"
"02-0793","02-0848","Frankfurt an der Oder","1558"
"02-0879","02-0848","Mühlhausen/Elsaß","1562"
"02-0755","02-0848","Mühlhausen/Elsaß","1562"
"02-0716","02-0852","Oberursel/Taunus","1567"
"02-0777","02-0859","Tübingen","1579"
"02-0800","02-0859","Tübingen","1579"
"02-0716","02-0862","Regensburg","1563"
"02-0741","02-0867","Helmstedt","1580"
"02-0673","02-0867","Tübingen","1562"
"02-0673","02-0867","Frankfurt a. M.","1562"
"02-0673","02-0867","Frankfurt a. M.","1563"
"02-0061","02-0870","Genf","1562"
"02-0324","02-0876","Emden","1557"
"02-0766","02-0876","Basel","1556"
"02-0797","02-0876","Zürich","1556"
"02-0766","02-0876","Basel","1556"
"02-0766","02-0876","Basel","1560"
"02-0681","02-0876","Zürich","1555"
"02-0681","02-0876","Genf","1557"
"02-0382","02-0879","Heidelberg","1575"
"02-0809","02-0889","Wittenberg","1572"
"02-0782","02-0889","Wittenberg","1572"
"02-0779","02-0890","Regensburg","1575"
"02-0775","02-0971","Wittenberg","1569"
"02-0879","02-1005","Königsberg","1578"